Year,Month,Day,Weekday,Hour_0,VehicleType,counts
2023,9,25,Monday,0,31,97
2023,9,25,Monday,0,32,17
2023,9,25,Monday,0,42,1
2023,9,25,Monday,1,31,48
2023,9,25,Monday,1,32,15
2023,9,25,Monday,1,42,1
2023,9,25,Monday,3,31,37
2023,9,25,Monday,3,32,9
2023,9,25,Monday,3,41,1
2023,9,25,Monday,4,31,51
2023,9,25,Monday,4,32,13
2023,9,25,Monday,5,31,118
2023,9,25,Monday,5,32,46
2023,9,25,Monday,5,41,2
2023,9,25,Monday,6,31,309
2023,9,25,Monday,6,32,108
2023,9,25,Monday,6,41,7
2023,9,25,Monday,7,31,429
2023,9,25,Monday,7,32,184
2023,9,25,Monday,7,41,10
2023,9,25,Monday,7,42,1
2023,9,25,Monday,8,31,331
2023,9,25,Monday,8,32,90
2023,9,25,Monday,8,41,12
2023,9,25,Monday,8,42,3
2023,9,25,Monday,9,31,318
2023,9,25,Monday,9,32,104
2023,9,25,Monday,9,41,8
2023,9,25,Monday,9,42,1
2023,9,25,Monday,10,31,311
2023,9,25,Monday,10,32,117
2023,9,25,Monday,10,41,10
2023,9,25,Monday,11,31,455
2023,9,25,Monday,11,32,147
2023,9,25,Monday,11,41,15
2023,9,25,Monday,12,31,491
2023,9,25,Monday,12,32,116
2023,9,25,Monday,12,41,15
2023,9,25,Monday,13,31,578
2023,9,25,Monday,13,32,163
2023,9,25,Monday,13,41,31
2023,9,25,Monday,14,31,573
2023,9,25,Monday,14,32,160
2023,9,25,Monday,14,41,13
2023,9,25,Monday,14,42,2
2023,9,25,Monday,15,31,439
2023,9,25,Monday,15,32,101
2023,9,25,Monday,15,41,16
2023,9,25,Monday,15,42,1
2023,9,25,Monday,16,31,873
2023,9,25,Monday,16,32,237
2023,9,25,Monday,16,41,31
2023,9,25,Monday,16,42,1
2023,9,25,Monday,17,31,855
2023,9,25,Monday,17,32,251
2023,9,25,Monday,17,41,21
2023,9,25,Monday,17,42,1
2023,9,25,Monday,18,31,481
2023,9,25,Monday,18,32,92
2023,9,25,Monday,18,41,24
2023,9,25,Monday,19,31,420
2023,9,25,Monday,19,32,102
2023,9,25,Monday,19,41,12
2023,9,25,Monday,20,31,324
