Year,Month,Day,Weekday,Hour_0,VehicleType,counts
2023,9,26,Tuesday,11,31,195
2023,9,26,Tuesday,11,32,63
2023,9,26,Tuesday,11,41,1
2023,9,26,Tuesday,11,42,22
2023,9,26,Tuesday,12,5,36
2023,9,26,Tuesday,12,31,174
2023,9,26,Tuesday,12,32,70
2023,9,26,Tuesday,12,41,4
2023,9,26,Tuesday,12,42,22
2023,9,26,Tuesday,13,5,16
2023,9,26,Tuesday,13,31,179
2023,9,26,Tuesday,13,32,49
2023,9,26,Tuesday,13,41,1
2023,9,26,Tuesday,13,42,26
2023,9,26,Tuesday,14,5,24
2023,9,26,Tuesday,14,31,202
2023,9,26,Tuesday,14,32,48
2023,9,26,Tuesday,14,41,2
2023,9,26,Tuesday,14,42,18
2023,9,26,Tuesday,15,5,16
2023,9,26,Tuesday,15,31,193
2023,9,26,Tuesday,15,32,64
2023,9,26,Tuesday,15,41,7
2023,9,26,Tuesday,15,42,20
2023,9,26,Tuesday,16,5,28
2023,9,26,Tuesday,16,31,187
2023,9,26,Tuesday,16,32,51
2023,9,26,Tuesday,16,41,4
2023,9,26,Tuesday,16,42,18
2023,9,26,Tuesday,17,5,20
2023,9,26,Tuesday,17,31,227
2023,9,26,Tuesday,17,32,53
2023,9,26,Tuesday,17,41,4
2023,9,26,Tuesday,17,42,16
2023,9,26,Tuesday,18,5,36
2023,9,26,Tuesday,18,31,174
2023,9,26,Tuesday,18,32,33
2023,9,26,Tuesday,18,41,5
2023,9,26,Tuesday,18,42,8
2023,9,26,Tuesday,19,5,60
2023,9,26,Tuesday,19,31,125
2023,9,26,Tuesday,19,32,29
2023,9,26,Tuesday,19,41,1
2023,9,26,Tuesday,19,42,14
2023,9,26,Tuesday,20,5,42
2023,9,26,Tuesday,20,31,105
2023,9,26,Tuesday,20,32,18
2023,9,26,Tuesday,20,41,6
2023,9,26,Tuesday,20,42,19
2023,9,26,Tuesday,21,5,18
2023,9,26,Tuesday,21,31,88
2023,9,26,Tuesday,21,32,18
2023,9,26,Tuesday,21,42,7
2023,9,26,Tuesday,22,5,19
2023,9,26,Tuesday,22,31,46
2023,9,26,Tuesday,22,32,5
2023,9,26,Tuesday,22,41,1
2023,9,26,Tuesday,22,42,12
2023,9,26,Tuesday,23,5,16
2023,9,26,Tuesday,23,31,39
2023,9,26,Tuesday,23,32,7
2023,9,26,Tuesday,23,42,18
2023,9,27,Wednesday,0,5,27
2023,9,27,Wednesday,0,31,21
2023,9,27,Wednesday,0,32,6
2023,9,27,Wednesday,0,42,11
2023,9,27,Wednesday,1,5,43
2023,9,27,Wednesday,1,31,9
2023,9,27,Wednesday,1,32,1
2023,9,27,Wednesday,1,42,9
2023,9,27,Wednesday,2,5,57
2023,9,27,Wednesday,2,31,8
2023,9,27,Wednesday,2,32,2
2023,9,27,Wednesday,2,42,4
2023,9,27,Wednesday,3,5,73
2023,9,27,Wednesday,3,31,10
2023,9,27,Wednesday,3,32,2
2023,9,27,Wednesday,3,42,16
2023,9,27,Wednesday,4,5,68
2023,9,27,Wednesday,4,31,10
2023,9,27,Wednesday,4,32,7
2023,9,27,Wednesday,4,42,17
2023,9,27,Wednesday,5,5,46
2023,9,27,Wednesday,5,31,22
2023,9,27,Wednesday,5,32,12
2023,9,27,Wednesday,5,41,4
2023,9,27,Wednesday,5,42,6
2023,9,27,Wednesday,6,5,63
2023,9,27,Wednesday,6,31,61
2023,9,27,Wednesday,6,32,33
2023,9,27,Wednesday,6,41,7
2023,9,27,Wednesday,6,42,7
2023,9,27,Wednesday,7,5,65
2023,9,27,Wednesday,7,31,244
2023,9,27,Wednesday,7,32,49
2023,9,27,Wednesday,7,41,5
2023,9,27,Wednesday,7,42,24
2023,9,27,Wednesday,8,5,69
2023,9,27,Wednesday,8,31,151
2023,9,27,Wednesday,8,32,56
2023,9,27,Wednesday,8,42,34
2023,9,27,Wednesday,9,5,66
2023,9,27,Wednesday,9,31,132
2023,9,27,Wednesday,9,32,58
2023,9,27,Wednesday,9,41,1
2023,9,27,Wednesday,9,42,41
2023,9,27,Wednesday,10,5,47
2023,9,27,Wednesday,10,31,123
2023,9,27,Wednesday,10,32,62
2023,9,27,Wednesday,10,42,30
2023,9,27,Wednesday,11,5,44
2023,9,27,Wednesday,11,31,182
2023,9,27,Wednesday,11,32,59
2023,9,27,Wednesday,11,41,2
2023,9,27,Wednesday,11,42,29
2023,9,27,Wednesday,12,5,43
2023,9,27,Wednesday,12,31,196
2023,9,27,Wednesday,12,32,47
2023,9,27,Wednesday,12,41,4
2023,9,27,Wednesday,12,42,19
2023,9,27,Wednesday,13,5,18
2023,9,27,Wednesday,13,31,164
2023,9,27,Wednesday,13,32,70
2023,9,27,Wednesday,13,41,4
2023,9,27,Wednesday,13,42,32
2023,9,27,Wednesday,14,5,16
2023,9,27,Wednesday,14,31,192
2023,9,27,Wednesday,14,32,47
2023,9,27,Wednesday,14,41,2
2023,9,27,Wednesday,14,42,23
2023,9,27,Wednesday,15,5,21
2023,9,27,Wednesday,15,31,208
2023,9,27,Wednesday,15,32,64
2023,9,27,Wednesday,15,41,6
2023,9,27,Wednesday,15,42,22
2023,9,27,Wednesday,16,5,29
2023,9,27,Wednesday,16,31,165
2023,9,27,Wednesday,16,32,48
2023,9,27,Wednesday,16,41,3
2023,9,27,Wednesday,16,42,17
2023,9,27,Wednesday,17,5,25
2023,9,27,Wednesday,17,31,194
2023,9,27,Wednesday,17,32,47
2023,9,27,Wednesday,17,41,4
2023,9,27,Wednesday,17,42,12
2023,9,27,Wednesday,18,5,22
2023,9,27,Wednesday,18,31,156
2023,9,27,Wednesday,18,32,43
2023,9,27,Wednesday,18,41,2
2023,9,27,Wednesday,18,42,14
2023,9,27,Wednesday,19,5,46
2023,9,27,Wednesday,19,31,132
2023,9,27,Wednesday,19,32,31
2023,9,27,Wednesday,19,41,4
2023,9,27,Wednesday,19,42,20
2023,9,27,Wednesday,20,5,30
2023,9,27,Wednesday,20,31,124
2023,9,27,Wednesday,20,32,37
2023,9,27,Wednesday,20,42,15
2023,9,27,Wednesday,21,5,22
2023,9,27,Wednesday,21,31,114
2023,9,27,Wednesday,21,32,28
2023,9,27,Wednesday,21,42,5
2023,9,27,Wednesday,22,5,20
2023,9,27,Wednesday,22,31,72
2023,9,27,Wednesday,22,32,15
2023,9,27,Wednesday,22,42,5
2023,9,27,Wednesday,23,5,22
2023,9,27,Wednesday,23,31,43
2023,9,27,Wednesday,23,32,10
2023,9,27,Wednesday,23,42,15
2023,9,28,Thursday,0,5,33
2023,9,28,Thursday,0,31,21
2023,9,28,Thursday,0,32,5
2023,9,28,Thursday,0,42,11
2023,9,28,Thursday,1,5,58
2023,9,28,Thursday,1,31,10
2023,9,28,Thursday,1,32,3
2023,9,28,Thursday,1,42,10
2023,9,28,Thursday,2,5,52
2023,9,28,Thursday,2,31,13
2023,9,28,Thursday,2,32,7
2023,9,28,Thursday,2,42,4
2023,9,28,Thursday,3,5,87
2023,9,28,Thursday,3,31,7
2023,9,28,Thursday,3,32,3
2023,9,28,Thursday,3,42,6
2023,9,28,Thursday,4,5,63
2023,9,28,Thursday,4,31,10
2023,9,28,Thursday,4,32,8
2023,9,28,Thursday,4,42,11
2023,9,28,Thursday,5,5,44
2023,9,28,Thursday,5,31,21
2023,9,28,Thursday,5,32,10
2023,9,28,Thursday,5,41,4
2023,9,28,Thursday,5,42,7
2023,9,28,Thursday,6,5,62
2023,9,28,Thursday,6,31,53
2023,9,28,Thursday,6,32,25
2023,9,28,Thursday,6,41,8
2023,9,28,Thursday,6,42,7
2023,9,28,Thursday,7,5,46
2023,9,28,Thursday,7,31,246
2023,9,28,Thursday,7,32,56
2023,9,28,Thursday,7,41,4
2023,9,28,Thursday,7,42,16
2023,9,28,Thursday,8,5,68
2023,9,28,Thursday,8,31,149
2023,9,28,Thursday,8,32,38
2023,9,28,Thursday,8,41,1
2023,9,28,Thursday,8,42,36
2023,9,28,Thursday,9,5,37
2023,9,28,Thursday,9,31,116
2023,9,28,Thursday,9,32,67
2023,9,28,Thursday,9,41,3
2023,9,28,Thursday,9,42,36
2023,9,28,Thursday,10,5,48
2023,9,28,Thursday,10,31,149
2023,9,28,Thursday,10,32,72
2023,9,28,Thursday,10,41,1
2023,9,28,Thursday,10,42,28
2023,9,28,Thursday,11,5,49
2023,9,28,Thursday,11,31,164
2023,9,28,Thursday,11,32,55
2023,9,28,Thursday,11,41,2
2023,9,28,Thursday,11,42,35
2023,9,28,Thursday,12,5,27
2023,9,28,Thursday,12,31,155
2023,9,28,Thursday,12,32,64
2023,9,28,Thursday,12,41,4
2023,9,28,Thursday,12,42,18
2023,9,28,Thursday,13,5,16
2023,9,28,Thursday,13,31,183
2023,9,28,Thursday,13,32,52
2023,9,28,Thursday,13,41,2
2023,9,28,Thursday,13,42,14
2023,9,28,Thursday,14,5,16
2023,9,28,Thursday,14,31,175
2023,9,28,Thursday,14,32,71
2023,9,28,Thursday,14,41,3
2023,9,28,Thursday,14,42,24
2023,9,28,Thursday,15,5,12
2023,9,28,Thursday,15,31,193
2023,9,28,Thursday,15,32,58
2023,9,28,Thursday,15,41,2
2023,9,28,Thursday,15,42,27
2023,9,28,Thursday,16,5,23
2023,9,28,Thursday,16,31,187
2023,9,28,Thursday,16,32,41
2023,9,28,Thursday,16,41,5
2023,9,28,Thursday,16,42,18
2023,9,28,Thursday,17,5,20
2023,9,28,Thursday,17,31,199
2023,9,28,Thursday,17,32,36
2023,9,28,Thursday,17,41,1
2023,9,28,Thursday,17,42,12
2023,9,28,Thursday,18,5,37
2023,9,28,Thursday,18,31,178
2023,9,28,Thursday,18,32,38
2023,9,28,Thursday,18,41,1
2023,9,28,Thursday,18,42,13
2023,9,28,Thursday,19,5,27
2023,9,28,Thursday,19,31,113
2023,9,28,Thursday,19,32,28
2023,9,28,Thursday,19,41,2
2023,9,28,Thursday,19,42,9
2023,9,28,Thursday,20,5,14
2023,9,28,Thursday,20,31,125
2023,9,28,Thursday,20,32,25
2023,9,28,Thursday,20,42,11
2023,9,28,Thursday,21,5,6
2023,9,28,Thursday,21,31,98
2023,9,28,Thursday,21,32,28
2023,9,28,Thursday,21,42,10
2023,9,28,Thursday,22,5,14
2023,9,28,Thursday,22,31,77
2023,9,28,Thursday,22,32,20
2023,9,28,Thursday,22,42,7
2023,9,28,Thursday,23,5,2
2023,9,28,Thursday,23,31,53
2023,9,28,Thursday,23,32,11
2023,9,28,Thursday,23,42,6
2023,9,29,Friday,0,0,1
2023,9,29,Friday,0,5,6
2023,9,29,Friday,0,31,32
2023,9,29,Friday,0,32,6
2023,9,29,Friday,0,41,4
2023,9,29,Friday,0,42,9
2023,9,29,Friday,1,5,32
2023,9,29,Friday,1,31,21
2023,9,29,Friday,1,32,1
2023,9,29,Friday,1,41,2
2023,9,29,Friday,1,42,7
2023,9,29,Friday,2,5,22
2023,9,29,Friday,2,31,24
2023,9,29,Friday,2,41,2
2023,9,29,Friday,2,42,3
2023,9,29,Friday,3,5,29
2023,9,29,Friday,3,31,24
2023,9,29,Friday,3,32,2
2023,9,29,Friday,3,41,3
2023,9,29,Friday,3,42,5
2023,9,29,Friday,4,5,40
2023,9,29,Friday,4,31,29
2023,9,29,Friday,4,32,9
2023,9,29,Friday,4,41,2
2023,9,29,Friday,4,42,4
2023,9,29,Friday,5,5,26
2023,9,29,Friday,5,31,39
2023,9,29,Friday,5,32,20
2023,9,29,Friday,5,41,3
2023,9,29,Friday,5,42,4
2023,9,29,Friday,6,5,26
2023,9,29,Friday,6,31,64
2023,9,29,Friday,6,32,27
2023,9,29,Friday,6,41,2
2023,9,29,Friday,6,42,5
2023,9,29,Friday,7,5,24
2023,9,29,Friday,7,31,108
2023,9,29,Friday,7,32,31
2023,9,29,Friday,7,41,5
2023,9,29,Friday,7,42,13
2023,9,29,Friday,8,5,19
2023,9,29,Friday,8,31,102
2023,9,29,Friday,8,32,46
2023,9,29,Friday,8,41,3
2023,9,29,Friday,8,42,5
2023,9,29,Friday,9,5,24
2023,9,29,Friday,9,31,165
2023,9,29,Friday,9,32,47
2023,9,29,Friday,9,41,1
2023,9,29,Friday,9,42,6
2023,9,29,Friday,10,5,15
2023,9,29,Friday,10,31,186
2023,9,29,Friday,10,32,55
2023,9,29,Friday,10,41,1
2023,9,29,Friday,10,42,13
2023,9,29,Friday,11,5,8
2023,9,29,Friday,11,31,256
2023,9,29,Friday,11,32,55
2023,9,29,Friday,11,42,12
2023,9,29,Friday,12,5,6
2023,9,29,Friday,12,31,239
2023,9,29,Friday,12,32,54
2023,9,29,Friday,12,41,1
2023,9,29,Friday,12,42,6
2023,9,29,Friday,13,5,4
2023,9,29,Friday,13,31,251
2023,9,29,Friday,13,32,46
2023,9,29,Friday,13,42,6
2023,9,29,Friday,14,5,2
2023,9,29,Friday,14,31,278
2023,9,29,Friday,14,32,64
2023,9,29,Friday,14,41,2
2023,9,29,Friday,14,42,8
2023,9,29,Friday,15,5,4
2023,9,29,Friday,15,31,276
2023,9,29,Friday,15,32,57
2023,9,29,Friday,15,41,1
